trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.5, 'e': 0.3109882962959281}",20,0,10.238511288822215,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,0,-25.243265696038616,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.3097468277032208}",25,6,10.681801341598373,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.3091279531286804}",25,0,-15.926607110733475,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.3085103150663647}",20,0,-23.791928237172336,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.30789391104572067}",30,0,-15.606045748605219,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,0,1.40794411154102,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.306664795271906}",25,15,17.001857990596132,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3060520786022707}",30,0,8.735120587185044,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.30544058614135783}",25,12,-36.97266134592419,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.30483031544319683}",30,0,-7.8792007879017,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,4,-1.9440062022817486,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.30361342957567317}",25,9,26.984443400789548,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.3030068095387654}",30,7,21.68320962835733,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.3024014015294998}",25,0,-78.81498469436542,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.30179720312624353}",30,10,24.371138833658343,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3011942119122021}",20,0,9.119997093950724,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.30059242547540993}",20,14,-0.7927747928096203,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.29999184140872054}",30,12,3.512770512064602,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.2993924573097967}",20,0,-3.4429445129569745,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.29879427078110127}",35,6,-18.800004320623515,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.2981972794298874}",30,0,-22.694328263214686,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.29760148086818883}",20,2,18.51683249144494,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.2970068727128105}",20,14,5.256241386860866,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.2964134525853191}",20,3,-22.05513036048521,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.2958212181120332}",30,13,-9.527149482168369,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,0,-25.352002193175174,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.29464029665705654}",20,10,-6.862173189989429,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.29405160495167837}",25,3,-7.635402274737881,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.2934640894531121}",20,0,6.7881812173821885,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.2928777478112949}",20,0,0.7193774104143031,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.2922925776808594}",35,6,-102.23776779937035,"{0: 20, 1: 5, 2: 1, 3: 1, 4: 2}",1
117,False,"{'a': 0.5, 'e': 0.2917085767211244}",25,0,-15.610943794803944,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.2911257425960852}",20,3,9.030102192327497,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.2905440729744046}",25,5,0.3043346941470415,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.2899635655294032}",30,16,-7.0858732713157675,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.28938421793905067}",25,8,-52.34098722956188,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.28880602788595566}",25,0,-33.53376617304396,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.2882289930573573}",30,17,15.256888133711675,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
